sku,concepto,unidad,precio,coef,Hmax
GYPSOTECH-EXT-13,Gypsotech Externa Light 13,m2,29.04,2.05,3.5
MONTANTE-90-40-Z2,Montante 90/40 Z2,ml,0.743,2.8,3.5
RAIL-90-30-Z2,Rail 90 Z2,ml,0.583,0.7,3.5
TORN-EXT-42,Tornillo exterior 4.0x42,ud,0.158,18,3.5
TORN-MM-95,Tornillo MM 3.5x9.5,ud,0.014,3,3.5
MALLA-EXT,Malla Externa Light,ml,0.672,1.0,3.5
CINTA-J-150,Cinta juntas papel,ml,0.056,1.0,3.5
BANDA-E-90,Banda estanca 90 mm,ml,0.753,0.6,3.5

