codigo,concepto,unidad,rendimiento_m2
L00H005200A0,Gypsotech AQUA H2 BA 15,m2,4.10
C367038299A,Montante 70/35 Z1,ml,2.8
U307030300A,Rail 70 Z1,ml,0.40
304101,Tornillo PM 3.5x25,ud,24
304104,Tornillo PM 3.5x35,ud,16
304134,Tornillo MM 3.5x9.5,ud,3
304058,Cinta juntas papel,ml,4.00
304065,Cinta guardavivos,ml,0.3
304076,Banda estanca 70 mm,ml,0.6
353E1,FASSAJOINT 2H,kg,0.40
