codigo,concepto,unidad,rendimiento_m2
L00A003250A0,Placa STD BA 13 1200x2500,m2,1.025
C174717300A,Perfil TC47 Z1,ml,1.67
304101,Tornillo PM 3.5x25,ud,10
304104,Tornillo PM 3.5x35,ud,15
304058,Cinta juntas papel,ml,1.0
351E1,FASSAJOINT 1H,kg,0.20
304022,Suspensión TC 180 mm,ud,1.0
304007,Pieza empalme TC47,ud,0.2
