codigo,concepto,unidad,rendimiento_m2
L00A005200A0,Placa STD BA 15,m2,1.025
C367038299A,Montante 70/35 Z1,ml,2.8
U307030300A,Rail 70 Z1,ml,0.7
304101,Tornillo PM 3.5x25,ud,10
304104,Tornillo PM 3.5x35,ud,15
304134,Tornillo MM 3.5x9.5,ud,3
304058,Cinta juntas papel,ml,1.0
304065,Cinta guardavivos,ml,0.3
304076,Banda estanca 70 mm,ml,0.6
351E1,FASSAJOINT 1H,kg,0.20
