codigo,concepto,unidad,rendimiento_m2,precio_catalogo_almeria,familia_precio
L00A003250A0,Placa STD BA 13 1200x2500,m2,1.025,6.36,PLACA
C286028300A,Perfil TC60 Z1,ml,1.67,0.567,RESTO
304101,Tornillo PM 3.5x25,ud,10,0.014,RESTO
304104,Tornillo PM 3.5x35,ud,15,0.017,RESTO
304058,Cinta juntas papel,ml,1.0,0.056,RESTO
351E1,FASSAJOINT 1H,kg,0.20,1.33,RESTO
304022,Suspensión TC 180 mm,ud,1.0,0.207,RESTO
304008,Pieza empalme TC60,ud,0.2,0.298,RESTO
