sku,concepto,unidad,precio,coef,Hmax
GYPSOTECH-EXT-13,Gypsotech Externa Light 13,m2,29.04,2.05,3.0
MONTANTE-70-35-Z2,Montante 70/35 Z2,ml,0.593,2.8,3.0
RAIL-70-30-Z2,Rail 70 Z2,ml,0.477,0.7,3.0
TORN-EXT-42,Tornillo exterior 4.0x42,ud,0.158,18,3.0
TORN-MM-95,Tornillo MM 3.5x9.5,ud,0.014,3,3.0
MALLA-EXT,Malla Externa Light,ml,0.672,1.0,3.0
CINTA-J-150,Cinta juntas papel,ml,0.056,1.0,3.0
BANDA-E-70,Banda estanca 70 mm,ml,0.581,0.6,3.0

