codigo,concepto,unidad,rendimiento_m2
L00H003250A0,Gypsotech AQUA H2 BA 13 1200x2500,m2,1.025
E168218300Z1,Perfil omega 35,ml,1.67
TORN-TA-60,Tornillo TA 5.5x60,ud,6
304101,Tornillo PM 3.5x25,ud,10
304058,Cinta juntas papel,ml,1.0
353E1,FASSAJOINT 2H,kg,0.20
