sku,concepto,unidad,precio,coef,Hmax
L00A003200A0,Gypsotech STD BA 13,m2,6.36,1.025,3.0
E168218300Z1,Perfil omega 35,ml,0.443,1.67,3.0
TORN-TA-60,Tornillo TA 5.5x60,ud,0.025,6,3.0
304101,Tornillo PM 3.5x25,ud,0.014,10,3.0
304058,Cinta juntas papel,ml,0.056,1.0,3.0
351E1,Pasta JN,kg,1.330,0.20,3.0

