codigo,concepto,unidad,rendimiento_m2
L00H003250A0,Gypsotech AQUA H2 BA 13 1200x2500,m2,2.05
C399041299A,Montante 90/40 Z1,ml,2.8
U309030300A,Rail 90 Z1,ml,0.7
304101,Tornillo PM 3.5x25,ud,18
304104,Tornillo PM 3.5x35,ud,22
304134,Tornillo MM 3.5x9.5,ud,3
304058,Cinta juntas papel,ml,1.0
304065,Cinta guardavivos,ml,0.3
304077,Banda estanca 90 mm,ml,0.6
353E1,FASSAJOINT 2H,kg,0.30
